ST	ASP	GLN	GLT	GLY	PGM	TKT	UNC	group
2970	2	21	5	37	60	3	5	0
574	7	53	2	10	11	3	3	0
403	10	27	16	19	10	5	7	0
1876	2	4	5	68	11	3	6	0
257	9	2	4	62	4	5	6	0
131	7	2	6	10	10	37	1	0
574	7	53	2	10	11	3	3	0
104	2	1	1	3	7	1	5	0
574	7	53	2	10	11	3	3	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
227	2	4	5	2	2	1	5	0
257	9	2	4	62	4	5	6	0
354	8	10	2	2	11	12	6	0
257	9	2	4	62	4	5	6	0
53	2	1	21	3	2	1	5	0
50	2	1	12	3	2	1	5	0
447	1	2	42	4	3	40	3	0
50	2	1	12	3	2	1	5	0
48	2	4	1	2	7	1	5	0
53	2	1	21	3	2	1	5	0
45	4	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
1900	7	4	2	2	19	1	6	0
257	9	2	4	62	4	5	6	0
19	2	1	5	3	2	1	5	0
104	2	1	1	3	7	1	5	0
573	7	28	4	28	17	34	12	0
53	2	1	21	3	2	1	5	0
137	4	7	10	4	42	7	1	0
21	2	1	1	3	2	1	5	0
51	7	17	2	15	23	3	12	0
137	4	7	10	4	42	7	1	0
53	2	1	21	3	2	1	5	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
53	2	1	21	3	2	1	5	0
262	2	1	1	3	2	1	3	0
104	2	1	1	3	7	1	5	0
42	1	2	3	4	5	9	3	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
206	2	21	5	37	2	1	5	0
50	2	1	12	3	2	1	5	0
661	2	75	4	48	103	34	1	0
1907	7	21	16	62	4	61	44	0
1746	7	28	5	28	17	34	12	0
1895	4	7	4	4	42	7	1	0
1877	2	4	6	2	7	1	5	0
1936	62	4	2	2	2	1	5	0
1880	2	7	2	4	1	7	1	0
1909	7	53	1	10	11	3	3	0
1916	8	17	2	10	11	61	3	0
21	2	1	1	3	2	1	5	0
1926	9	25	1	10	22	3	6	0
356	14	17	5	2	11	3	6	0
634	1	2	4	4	5	9	3	0
51	7	17	2	15	23	3	12	0
1898	7	2	4	2	10	3	6	0
1908	7	21	21	62	4	61	44	0
1878	2	4	42	2	7	1	5	0
1904	7	17	12	15	23	3	12	0
53	2	1	21	3	2	1	5	0
1518	2	4	10	2	7	1	5	0
1869	2	1	30	5	2	1	5	0
1863	2	1	4	5	2	1	5	0
1856	1	3	2	4	3	3	3	0
1909	7	53	1	10	11	3	3	0
1864	2	1	4	3	7	1	5	0
19	2	1	5	3	2	1	5	0
1918	9	2	1	62	4	5	6	0
1865	2	1	4	3	2	1	3	0
1887	2	75	21	48	103	34	1	0
1924	9	2	10	62	4	5	6	0
262	2	1	1	3	2	1	3	0
982	2	1	2	3	2	1	5	0
1881	2	7	10	2	2	1	5	0
1896	6	4	21	2	2	1	5	0
1931	24	21	4	2	89	59	6	0
53	2	1	21	3	2	1	5	0
1909	7	53	1	10	11	3	3	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
436	7	21	5	62	4	61	44	0
1912	7	84	12	10	119	178	26	0
257	9	2	4	62	4	5	6	0
53	2	1	21	3	2	1	5	0
43	2	1	5	3	4	1	5	0
270	10	27	43	19	6	18	7	0
257	9	2	4	62	4	5	6	0
572	62	4	5	2	2	1	5	0
21	2	1	1	3	2	1	5	0
1972	7	71	5	62	11	67	1	0
104	2	1	1	3	7	1	5	0
206	2	21	5	37	2	1	5	0
572	62	4	5	2	2	1	5	0
572	62	4	5	2	2	1	5	0
572	62	4	5	2	2	1	5	0
48	2	4	1	2	7	1	5	0
137	4	7	10	4	42	7	1	0
584	8	2	5	62	4	5	1	0
661	2	75	4	48	103	34	1	0
19	2	1	5	3	2	1	5	0
53	2	1	21	3	2	1	5	0
45	4	7	10	4	1	7	1	0
104	2	1	1	3	7	1	5	0
19	2	1	5	3	2	1	5	0
334	4	7	40	4	42	7	1	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
986	91	2	42	4	169	9	8	0
883	2	17	2	3	2	1	5	0
1257	37	28	120	28	127	3	23	0
257	9	2	4	62	4	5	6	0
51	7	17	2	15	23	3	12	0
257	9	2	4	62	4	5	6	0
584	8	2	5	62	4	5	1	0
137	4	7	10	4	42	7	1	0
45	4	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
574	7	53	2	10	11	3	3	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
61	1	4	2	2	6	3	17	0
227	2	4	5	2	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
51	7	17	2	15	23	3	12	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
574	7	53	2	10	11	3	3	0
51	7	17	2	15	23	3	12	0
1257	37	28	120	28	127	3	23	0
354	8	10	2	2	11	12	6	0
53	2	1	21	3	2	1	5	0
354	8	10	2	2	11	12	6	0
48	2	4	1	2	7	1	5	0
574	7	53	2	10	11	3	3	0
475	2	4	1	4	19	62	5	0
353	7	17	5	2	10	3	6	0
1361	10	107	43	19	6	18	7	0
1888	3	1	2	10	11	68	6	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
38	2	4	2	2	6	1	5	0
606	24	21	2	2	89	59	6	0
104	2	1	1	3	7	1	5	0
48	2	4	1	2	7	1	5	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
47	2	1	1	5	2	1	5	0
48	2	4	1	2	7	1	5	0
257	9	2	4	62	4	5	6	0
353	7	17	5	2	10	3	6	0
53	2	1	21	3	2	1	5	0
21	2	1	1	3	2	1	5	0
1884	2	71	5	62	2	67	6	0
1884	2	71	5	62	2	67	6	0
21	2	1	1	3	2	1	5	0
904	24	2	5	53	23	3	1	0
257	9	2	4	62	4	5	6	0
1911	7	84	5	10	119	178	26	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
354	8	10	2	2	11	12	6	0
2972	62	4	5	298	2	1	5	0
53	2	1	21	3	2	1	5	0
52	9	25	2	10	22	3	6	0
584	8	2	5	62	4	5	1	0
257	9	2	4	62	4	5	6	0
206	2	21	5	37	2	1	5	0
573	7	28	4	28	17	34	12	0
324	57	17	2	2	11	12	6	0
52	9	25	2	10	22	3	6	0
400	8	17	5	2	10	59	6	0
137	4	7	10	4	42	7	1	0
19	2	1	5	3	2	1	5	0
51	7	17	2	15	23	3	12	0
356	14	17	5	2	11	3	6	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
48	2	4	1	2	7	1	5	0
61	1	4	2	2	6	3	17	0
2927	166	2	5	10	151	3	1	0
137	4	7	10	4	42	7	1	0
50	2	1	12	3	2	1	5	0
607	8	2	5	53	11	3	1	0
353	7	17	5	2	10	3	6	0
21	2	1	1	3	2	1	5	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
985	10	27	89	19	10	132	7	0
45	4	7	10	4	1	7	1	0
356	14	17	5	2	11	3	6	0
257	9	2	4	62	4	5	6	0
42	1	2	3	4	5	9	3	0
1906	7	21	5	62	67	48	6	0
584	8	2	5	62	4	5	1	0
22	1	3	6	4	3	3	3	0
61	1	4	2	2	6	3	17	0
21	2	1	1	3	2	1	5	0
230	4	7	41	4	42	7	1	0
49	3	1	5	17	11	11	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
19	2	1	5	3	2	1	5	0
22	1	3	6	4	3	3	3	0
233	2	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
53	2	1	21	3	2	1	5	0
47	2	1	1	5	2	1	5	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
334	4	7	40	4	42	7	1	0
266	2	1	5	3	2	54	5	0
21	2	1	1	3	2	1	5	0
696	2	1	4	28	58	25	58	0
257	9	2	4	62	4	5	6	0
51	7	17	2	15	23	3	12	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
475	2	4	1	4	19	62	5	0
531	2	71	5	62	11	67	6	0
47	2	1	1	5	2	1	5	0
372	7	2	4	62	4	5	6	0
1528	8	2	5	68	11	5	1	0
50	2	1	12	3	2	1	5	0
45	4	7	10	4	1	7	1	0
49	3	1	5	17	11	11	6	0
606	24	21	2	2	89	59	6	0
257	9	2	4	62	4	5	6	0
661	2	75	4	48	103	34	1	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
262	2	1	1	3	2	1	3	0
1932	24	30	2	2	89	120	6	0
48	2	4	1	2	7	1	5	0
267	4	7	40	4	42	51	1	0
334	4	7	40	4	42	7	1	0
2971	7	17	2	15	74	3	12	0
205	2	4	1	2	7	51	5	0
45	4	7	10	4	1	7	1	0
584	8	2	5	62	4	5	1	0
775	9	25	2	10	23	3	6	0
48	2	4	1	2	7	1	5	0
974	22	15	4	4	11	3	35	0
19	2	1	5	3	2	1	5	0
257	9	2	4	62	4	5	6	0
48	2	4	1	2	7	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
51	7	17	2	15	23	3	12	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
524	8	17	5	2	10	3	1	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
230	4	7	41	4	42	7	1	0
21	2	1	1	3	2	1	5	0
824	9	2	2	2	11	5	6	0
21	2	1	1	3	2	1	5	0
2383	176	4	2	2	6	3	17	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
205	2	4	1	2	7	51	5	0
2364	14	249	5	2	11	3	6	0
53	2	1	21	3	2	1	5	0
5	7	2	5	2	10	3	6	0
267	4	7	40	4	42	51	1	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
354	8	10	2	2	11	12	6	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
50	2	1	12	3	2	1	5	0
1519	8	1	5	3	2	1	1	0
1915	8	2	5	53	11	3	6	0
48	2	4	1	2	7	1	5	0
443	24	17	2	15	23	3	12	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
51	7	17	2	15	23	3	12	0
19	2	1	5	3	2	1	5	0
262	2	1	1	3	2	1	3	0
19	2	1	5	3	2	1	5	0
661	2	75	4	48	103	34	1	0
1900	7	4	2	2	19	1	6	0
354	8	10	2	2	11	12	6	0
205	2	4	1	2	7	51	5	0
572	62	4	5	2	2	1	5	0
356	14	17	5	2	11	3	6	0
356	14	17	5	2	11	3	6	0
257	9	2	4	62	4	5	6	0
475	2	4	1	4	19	62	5	0
45	4	7	10	4	1	7	1	0
475	2	4	1	4	19	62	5	0
52	9	25	2	10	22	3	6	0
5	7	2	5	2	10	3	6	0
824	9	2	2	2	11	5	6	0
574	7	53	2	10	11	3	3	0
45	4	7	10	4	1	7	1	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
42	1	2	3	4	5	9	3	0
51	7	17	2	15	23	3	12	0
969	8	10	2	10	11	12	6	0
50	2	1	12	3	2	1	5	0
520	2	1	12	88	2	1	5	0
22	1	3	6	4	3	3	3	0
464	24	2	2	2	10	3	1	0
1885	2	75	4	2	103	34	1	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
53	2	1	21	3	2	1	5	0
50	2	1	12	3	2	1	5	0
61	1	4	2	2	6	3	17	0
353	7	17	5	2	10	3	6	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
400	8	17	5	2	10	59	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
137	4	7	10	4	42	7	1	0
1899	7	2	6	10	11	37	1	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
353	7	17	5	2	10	3	6	0
22	1	3	6	4	3	3	3	0
990	9	2	4	62	4	133	6	0
403	10	27	16	19	10	5	7	0
990	9	2	4	62	4	133	6	0
53	2	1	21	3	2	1	5	0
48	2	4	1	2	7	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
400	8	17	5	2	10	59	6	0
49	3	1	5	17	11	11	6	0
50	2	1	12	3	2	1	5	0
1716	8	2	5	62	11	5	1	0
53	2	1	21	3	2	1	5	0
45	4	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
572	62	4	5	2	2	1	5	0
50	2	1	12	3	2	1	5	0
1710	2	71	5	62	22	67	6	0
573	7	28	4	28	17	34	12	0
305	9	53	2	10	11	3	3	0
267	4	7	40	4	42	51	1	0
564	4	7	40	92	42	51	1	0
53	2	1	21	3	2	1	5	0
273	2	21	5	37	60	1	5	0
53	2	1	21	3	2	1	5	0
475	2	4	1	4	19	62	5	0
50	2	1	12	3	2	1	5	0
334	4	7	40	4	42	7	1	0
262	2	1	1	3	2	1	3	0
48	2	4	1	2	7	1	5	0
2973	38	33	22	288	122	17	5	0
466	2	1	5	2	11	1	26	0
230	4	7	41	4	42	7	1	0
3118	2	17	2	15	13	3	12	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
270	10	27	43	19	6	18	7	0
353	7	17	5	2	10	3	6	0
53	2	1	21	3	2	1	5	0
66	2	4	5	2	7	1	5	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
354	8	10	2	2	11	12	6	0
51	7	17	2	15	23	3	12	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
877	7	112	42	62	11	67	6	0
572	62	4	5	2	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
61	1	4	2	2	6	3	17	0
257	9	2	4	62	4	5	6	0
19	2	1	5	3	2	1	5	0
19	2	1	5	3	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
206	2	21	5	37	2	1	5	0
104	2	1	1	3	7	1	5	0
350	7	4	6	68	93	3	46	0
48	2	4	1	2	7	1	5	0
257	9	2	4	62	4	5	6	0
61	1	4	2	2	6	3	17	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
824	9	2	2	2	11	5	6	0
257	9	2	4	62	4	5	6	0
1890	3	6	60	24	12	28	1	0
1852	1	1	5	17	11	11	8	0
273	2	21	5	37	60	1	5	0
523	2	4	1	93	11	3	6	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
508	1	6	60	24	12	28	1	0
104	2	1	1	3	7	1	5	0
48	2	4	1	2	7	1	5	0
51	7	17	2	15	23	3	12	0
53	2	1	21	3	2	1	5	0
53	2	1	21	3	2	1	5	0
19	2	1	5	3	2	1	5	0
450	47	55	5	10	11	48	8	0
574	7	53	2	10	11	3	3	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
53	2	1	21	3	2	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
573	7	28	4	28	17	34	12	0
50	2	1	12	3	2	1	5	0
19	2	1	5	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
51	7	17	2	15	23	3	12	0
403	10	27	16	19	10	5	7	0
53	2	1	21	3	2	1	5	0
475	2	4	1	4	19	62	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
574	7	53	2	10	11	3	3	0
22	1	3	6	4	3	3	3	0
824	9	2	2	2	11	5	6	0
257	9	2	4	62	4	5	6	0
262	2	1	1	3	2	1	3	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
